"mz_10eV","10eV","mz_20eV","20eV","mz_40eV","40eV"
"61.1689","2.50E+1","55.0163","4.80E+1","55.0132","0.00E+0"
"70.0301","2.60E+1","60.0193","2.30E+1","55.0148","6.00E+0"
"74.0608","2.00E+1","60.0421","2.80E+1","55.0163","1.30E+1"
"81.0237","2.20E+1","60.051","2.50E+1","55.0178","5.00E+0"
"84.0812","4.90E+1","64.8425","2.70E+1","55.0193","0.00E+0"
"86.0973","7.30E+1","67.0373","2.70E+1","55.0466","0.00E+0"
"87.0427","2.10E+1","68.05","9.90E+1","55.0481","4.00E+0"
"97.0272","2.00E+1","68.9922","2.50E+1","55.0497","1.00E+1"
"99.2999","3.10E+1","69.0748","2.40E+1","55.0512","6.00E+0"
"106.0444","1.04E+2","69.9303","3.10E+1","55.0527","0.00E+0"
"106.0548","6.70E+1","70.0256","4.90E+1","55.9396","0.00E+0"
"106.1814","2.50E+1","70.0351","2.42E+1","55.9412","2.00E+0"
"107.0514","4.90E+1","70.0668","1.92E+2","55.9427","1.00E+1"
"109.0246","2.20E+1","71.0717","3.60E+1","55.9442","8.00E+0"
"115.0858","2.30E+1","72.0647","2.60E+1","55.9458","0.00E+0"
"116.0312","2.70E+1","72.0827","1.08E+2","56.0422","0.00E+0"
"116.0611","1.81E+1","73.0779","2.10E+1","56.0437","2.00E+0"
"116.0724","5.39E+1","81.0343","2.70E+1","56.0453","1.10E+1"
"117.0706","2.20E+1","82.5311","9.70E+1","56.0468","1.00E+1"
"119.0452","3.20E+1","83.0526","2.40E+1","56.0483","0.00E+0"
"120.058","5.60E+1","84.0469","1.80E+2","60.9477","0.00E+0"
"120.0707","1.44E+2","84.0797","2.74E+2","60.9493","6.00E+0"
"120.0812","5.91E+1","84.2104","2.10E+1","60.9509","1.20E+1"
"121.0858","5.60E+1","84.4489","2.50E+1","60.9525","5.00E+0"
"124.0743","3.30E+1","85.0551","3.60E+1","60.9541","0.00E+0"
"125.6129","2.40E+1","86.0965","1.39E+3","67.1759","0.00E+0"
"127.0429","2.70E+1","86.6389","1.05E+2","67.1776","7.00E+0"
"129.0183","9.40E+1","87.053","8.80E+1","67.1793","1.20E+1"
"129.0729","7.60E+1","87.0998","1.10E+2","67.181","3.00E+0"
"129.0974","4.30E+1","88.042","1.03E+2","67.1827","0.00E+0"
"130.0461","2.10E+1","88.1003","2.10E+1","68.0422","0.00E+0"
"130.0591","2.20E+1","95.0537","3.10E+1","68.0439","8.00E+0"
"130.0916","4.20E+1","96.0413","2.00E+1","68.0456","1.00E+1"
"130.1031","2.90E+1","96.0499","2.50E+1","68.0473","3.00E+0"
"132.1041","2.20E+1","97.067","2.60E+1","68.049","0.00E+0"
"133.0272","2.20E+1","98.0264","2.60E+1","69.0296","0.00E+0"
"133.0623","4.40E+2","98.0699","2.10E+1","69.0313","1.00E+0"
"133.1055","2.20E+1","98.7921","3.40E+1","69.033","1.60E+1"
"134.0642","3.30E+1","101.109","4.60E+1","69.0347","1.30E+1"
"136.0778","3.92E+2","101.1974","2.20E+1","69.0364","0.00E+0"
"137.0271","2.40E+1","102.0556","2.82E+2","69.0432","0.00E+0"
"138.1104","2.50E+1","102.0786","4.00E+1","69.0449","9.00E+0"
"138.4601","2.10E+1","103.0381","2.10E+1","69.0466","1.10E+1"
"138.9944","3.00E+1","103.0581","9.20E+1","69.0482","2.00E+0"
"139.0434","2.00E+1","104.059","2.30E+1","69.0499","0.00E+0"
"139.4387","2.40E+1","105.5831","2.30E+1","69.0686","0.00E+0"
"140.1131","2.60E+1","106.0583","2.30E+1","69.0704","1.00E+1"
"141.0608","4.30E+1","107.0545","2.90E+1","69.0721","1.00E+1"
"142.0906","4.60E+1","109.0302","2.00E+1","69.0738","0.00E+0"
"142.1061","2.50E+1","110.0734","4.05E+2","69.0755","0.00E+0"
"143.1186","9.90E+1","111.0404","2.00E+1","69.0772","2.00E+0"
"144.1612","2.80E+1","111.055","6.20E+1","69.0788","1.50E+1"
"145.0576","2.00E+1","111.0968","3.00E+1","69.0806","1.10E+1"
"145.1002","3.20E+1","112.0889","2.50E+1","69.0823","0.00E+0"
"145.5097","3.30E+1","113.0689","2.20E+1","70.024","0.00E+0"
"147.0283","1.41E+2","114.0922","2.50E+1","70.0257","7.00E+0"
"147.0455","9.57E+1","114.1109","2.60E+1","70.0274","1.30E+1"
"147.0788","2.31E+2","115.0503","2.80E+1","70.0291","2.00E+0"
"147.1157","5.10E+1","115.0913","2.00E+1","70.0309","0.00E+0"
"148.0287","2.00E+1","116.0389","2.10E+1","70.0514","0.00E+0"
"148.0646","1.09E+2","116.0714","1.58E+2","70.0531","1.60E+1"
"149.0965","2.30E+1","117.0572","5.10E+1","70.0548","3.50E+1"
"150.0608","2.71E+2","118.0859","7.30E+1","70.0565","1.70E+1"
"151.0428","8.40E+1","120.0468","6.43E+1","70.0583","6.00E+0"
"151.0658","4.30E+1","120.0824","4.42E+3","70.06","4.50E+1"
"152.0601","2.50E+1","120.303","7.00E+1","70.0617","1.00E+2"
"152.0833","2.40E+1","121.0247","2.50E+1","70.0634","7.50E+1"
"153.0892","5.20E+1","121.0824","4.07E+2","70.0651","2.80E+1"
"155.0359","3.10E+1","122.0623","9.60E+1","70.0668","5.30E+1"
"156.0858","2.30E+1","122.085","9.30E+1","70.0685","6.10E+1"
"157.0101","5.80E+1","122.4762","2.30E+1","70.0702","3.80E+1"
"157.0809","3.20E+1","123.0589","4.80E+1","70.0719","1.20E+1"
"157.1181","4.21E+1","123.0722","2.50E+1","70.0737","1.20E+1"
"157.1355","9.91E+1","124.0434","2.30E+1","70.0754","0.00E+0"
"158.0972","1.00E+2","124.076","2.10E+1","71.0428","0.00E+0"
"158.133","4.90E+1","125.0338","2.70E+1","71.0445","8.00E+0"
"159.0864","1.09E+2","125.0778","2.50E+1","71.0463","1.60E+1"
"159.1235","2.30E+1","125.1119","8.80E+1","71.048","0.00E+0"
"160.0797","5.20E+1","126.0576","1.09E+2","72.0759","0.00E+0"
"160.4423","2.00E+1","126.0769","3.00E+1","72.0777","5.00E+0"
"162.0848","2.30E+1","126.0988","1.30E+2","72.0794","3.40E+1"
"163.042","4.80E+1","126.1171","2.48E+1","72.0811","3.00E+1"
"165.0569","7.60E+1","126.1353","3.80E+1","72.0829","2.60E+1"
"165.1096","2.10E+1","127.0346","3.10E+1","72.0846","0.00E+0"
"166.0577","7.80E+1","127.05","4.90E+1","73.036","0.00E+0"
"166.0853","4.77E+2","127.0663","2.40E+1","73.0378","1.30E+1"
"167.0877","8.60E+1","129.0189","1.66E+2","73.0395","9.00E+0"
"167.5087","3.20E+1","129.0707","3.30E+1","73.0413","0.00E+0"
"167.6305","2.20E+1","129.105","9.08E+2","74.0201","0.00E+0"
"168.1149","2.30E+1","130.0502","3.07E+2","74.0219","1.00E+1"
"168.8678","2.20E+1","130.0697","1.70E+2","74.0236","1.30E+1"
"169.0985","1.34E+2","130.089","2.10E+2","74.0254","0.00E+0"
"169.1211","3.30E+1","130.1073","4.55E+1","74.0536","0.00E+0"
"170.0534","2.00E+1","131.017","2.80E+1","74.0553","2.00E+1"
"170.1381","5.80E+1","131.0518","8.00E+1","74.0571","7.00E+0"
"170.7962","3.70E+1","131.0895","6.90E+1","74.0588","0.00E+0"
"170.9632","2.30E+1","132.072","2.20E+1","74.0606","9.00E+0"
"171.083","7.70E+1","132.1017","1.13E+2","74.0624","1.10E+1"
"171.1063","1.42E+2","133.0631","1.06E+3","74.0641","0.00E+0"
"171.1198","2.77E+2","134.0621","8.45E+1","77.997","0.00E+0"
"171.1511","9.90E+1","134.1021","2.10E+1","77.9988","1.00E+1"
"172.0432","2.70E+1","135.0825","2.10E+1","78.0006","1.10E+1"
"173.055","3.10E+1","136.0798","4.00E+2","78.0024","0.00E+0"
"173.0833","2.00E+1","137.0181","5.30E+1","78.0096","0.00E+0"
"173.0956","2.20E+1","137.0397","2.00E+1","78.0114","5.00E+0"
"173.1354","4.70E+1","137.083","7.30E+1","78.0132","1.30E+1"
"174.0967","2.30E+1","138.012","3.40E+1","78.0151","7.00E+0"
"175.0242","1.48E+2","138.0311","2.70E+1","78.0169","0.00E+0"
"175.123","1.59E+2","138.0545","2.29E+1","80.0537","0.00E+0"
"175.7139","2.10E+1","138.0661","9.15E+1","80.0555","4.00E+0"
"176.0693","2.10E+1","138.0859","7.60E+1","80.0574","1.50E+1"
"177.0428","4.20E+1","138.9714","2.40E+1","80.0592","3.00E+0"
"177.0602","2.70E+1","139.0049","2.21E+2","80.061","0.00E+0"
"177.0953","8.10E+1","139.0574","2.40E+1","81.0286","0.00E+0"
"178.0685","3.50E+1","139.0865","8.40E+1","81.0304","3.00E+0"
"178.0956","2.40E+1","140.0497","2.50E+1","81.0323","2.00E+1"
"178.2992","2.70E+1","140.0583","4.40E+1","81.0341","2.50E+1"
"178.4044","2.20E+1","140.0813","8.30E+1","81.0359","3.20E+1"
"180.7866","2.30E+1","141.0678","7.49E+1","81.0378","2.60E+1"
"181.0605","4.30E+1","141.0807","4.28E+1","81.0396","0.00E+0"
"181.0996","2.40E+1","141.1025","2.63E+2","81.0525","0.00E+0"
"181.1583","3.60E+1","141.1549","3.60E+1","81.0544","3.00E+0"
"182.055","2.10E+1","141.1999","3.00E+1","81.0562","1.80E+1"
"182.0834","8.97E+2","142.0461","2.50E+1","81.0581","0.00E+0"
"182.3402","3.70E+1","142.0878","7.40E+1","82.0242","0.00E+0"
"183.0751","5.90E+1","142.1068","2.30E+1","82.026","1.00E+0"
"183.1174","8.10E+1","143.0528","4.70E+1","82.0279","2.80E+1"
"183.1441","2.30E+1","143.0797","4.20E+1","82.0297","9.00E+0"
"184.0529","2.50E+1","143.1175","1.04E+2","82.0316","1.20E+1"
"184.1326","2.50E+1","144.0611","5.90E+1","82.0334","5.80E+1"
"185.0449","2.00E+1","144.0745","2.30E+1","82.0353","0.00E+0"
"185.064","6.90E+1","144.095","2.80E+1","82.0631","0.00E+0"
"185.0939","7.20E+1","144.1092","4.30E+1","82.0649","1.50E+1"
"185.1324","2.96E+2","145.0515","2.90E+1","82.0668","6.00E+0"
"185.1594","2.50E+1","145.0894","3.64E+1","82.0686","0.00E+0"
"185.1706","2.20E+1","145.102","7.86E+1","83.0053","0.00E+0"
"186.0887","8.40E+1","146.0543","3.10E+1","83.0072","1.00E+1"
"186.1106","2.50E+1","147.0469","7.60E+1","83.0091","2.10E+1"
"186.1318","6.50E+1","147.0786","2.10E+2","83.0109","1.00E+0"
"187.067","2.10E+1","147.116","2.18E+2","83.0128","0.00E+0"
"187.1069","1.01E+3","147.7984","2.10E+1","83.0575","0.00E+0"
"187.1398","1.34E+2","148.0262","3.00E+1","83.0594","8.00E+0"
"187.5514","4.00E+1","148.0394","2.07E+1","83.0612","1.90E+1"
"188.0562","2.20E+1","148.0625","1.46E+2","83.0631","1.00E+1"
"188.1064","9.20E+1","148.0819","1.02E+2","83.065","1.40E+1"
"188.9863","2.50E+1","148.1178","2.50E+1","83.0668","2.00E+1"
"189.0899","7.10E+1","149.0645","2.30E+1","83.0687","1.00E+0"
"189.1291","7.90E+1","149.0937","2.20E+1","83.0706","0.00E+0"
"191.1141","2.14E+1","149.9711","2.20E+1","84.0336","0.00E+0"
"191.1301","2.50E+1","150.0773","1.22E+2","84.0354","1.80E+1"
"195.0777","2.00E+1","150.0921","2.14E+2","84.0373","8.00E+0"
"195.3177","2.80E+1","151.0921","7.40E+1","84.0392","1.00E+0"
"195.6458","2.60E+1","152.0584","2.60E+1","84.0411","0.00E+0"
"196.1107","2.50E+1","152.0728","5.60E+1","84.0429","9.00E+0"
"196.1393","2.20E+1","153.0584","2.50E+1","84.0448","5.40E+1"
"197.1263","5.30E+1","153.0747","4.70E+1","84.0467","3.70E+1"
"197.1587","2.00E+1","153.0894","2.45E+1","84.0486","1.00E+1"
"198.1042","2.50E+1","153.1418","7.50E+1","84.0504","1.00E+0"
"198.5673","2.20E+1","154.0496","2.00E+1","84.0523","9.00E+0"
"199.0789","4.50E+1","154.0787","2.10E+1","84.0542","1.40E+1"
"199.1001","2.50E+1","154.1187","4.50E+1","84.0561","2.00E+0"
"199.1353","2.50E+1","154.1429","2.50E+1","84.058","1.40E+1"
"199.1585","2.20E+1","154.1545","2.30E+1","84.0598","9.00E+0"
"200.0354","2.50E+1","155.0882","1.19E+2","84.0617","1.00E+0"
"200.139","2.30E+1","155.1156","1.17E+2","84.0636","0.00E+0"
"200.5788","4.30E+1","155.5976","3.50E+1","84.0655","1.40E+1"
"200.636","2.20E+1","156.0747","4.16E+2","84.0673","1.30E+1"
"201.0281","4.80E+1","156.1121","9.70E+1","84.0692","2.00E+0"
"201.1094","1.06E+2","156.1361","2.30E+1","84.0711","0.00E+0"
"201.124","1.83E+2","157.0147","1.46E+2","84.073","3.00E+0"
"202.0881","3.60E+1","157.0737","7.40E+1","84.0748","6.00E+1"
"202.1265","4.70E+1","157.1002","1.48E+2","84.0767","1.38E+2"
"203.0654","9.80E+1","157.1375","1.32E+2","84.0786","6.50E+1"
