"mz_10eV","10 ev","mz_25eV","25 ev","mz_40eV","40 ev"
"59.2773","2.100e1","50.0766","2.700e1","50.4058","2.200e1"
"61.2340","2.000e1","68.8175","5.800e1","53.0341","2.400e1"
"64.4650","2.600e1","69.0340","2.800e1","54.0295","2.500e1"
"67.7072","3.300e1","69.3730","3.400e1","55.0578","2.300e1"
"68.6350","3.100e1","70.0256","6.200e1","56.0468","2.100e1"
"68.9919","2.300e1","70.0436","5.350e1","56.5215","3.500e1"
"69.9693","2.200e1","70.0647","2.558e3","67.0538","3.400e1"
"70.0642","8.200e1","70.0839","3.600e1","68.0258","2.300e1"
"71.0808","2.300e1","71.0601","2.300e1","68.0490","2.050e2"
"72.1412","5.200e1","71.0705","2.300e1","69.0222","4.500e1"
"82.5346","3.700e1","72.0812","5.660e2","69.0331","2.826e1"
"84.0526","2.100e1","73.0754","2.800e1","69.0674","5.140e1"
"86.0911","2.200e1","73.0851","2.501e1","69.0754","2.560e1"
"87.0613","2.800e1","73.1942","3.400e1","69.9672","2.200e1"
"87.8669","2.100e1","74.0619","2.000e1","70.0280","4.878e2"
"89.4785","2.600e1","75.0672","2.100e1","70.0654","8.628e3"
"90.0754","2.100e1","75.5559","4.800e1","70.0836","6.400e1"
"90.8860","3.600e1","79.2683","2.200e1","70.1768","2.200e1"
"91.5261","2.000e1","79.8840","2.500e1","71.0294","2.500e1"
"91.8134","4.400e1","81.0362","3.600e1","71.0690","4.100e2"
"100.3384","2.200e1","82.0609","2.600e1","72.0812","1.297e3"
"101.8416","9.100e1","84.0292","2.600e1","72.1594","3.800e1"
"108.7449","2.100e1","84.0440","1.180e2","72.9730","2.500e1"
"112.0552","2.600e1","84.0694","2.500e1","73.0848","2.300e1"
"112.0794","2.700e1","84.0831","1.710e2","74.0611","1.680e2"
"114.8195","2.200e1","84.1806","2.200e1","75.0599","7.600e1"
"118.0859","4.300e1","84.4293","2.100e1","77.0309","3.316e1"
"120.0733","8.200e1","85.0341","4.100e1","77.0361","1.113e2"
"121.7926","2.100e1","85.0501","2.900e1","77.0425","9.101e1"
"124.0766","2.300e1","85.0876","6.400e1","79.0404","4.576e1"
"126.0729","2.000e1","85.3530","2.100e1","79.0514","8.000e1"
"129.1056","7.200e1","86.0469","2.800e1","79.8537","5.000e1"
"130.5902","3.200e1","86.0986","4.752e2","80.0141","4.200e1"
"133.0624","5.000e1","87.0550","8.200e1","80.0299","3.200e1"
"134.0372","2.900e1","91.0557","2.000e1","80.0521","1.816e2"
"136.0882","2.200e1","93.0729","2.400e1","81.0233","1.172e1"
"137.3931","4.900e1","94.0706","3.300e1","81.0354","1.953e2"
"138.0839","3.000e1","95.2505","2.200e1","81.0449","5.924e1"
"139.0430","4.500e1","96.0456","7.500e1","81.0577","1.844e1"
"142.3525","2.300e1","97.0341","3.697e1","81.0674","4.721e1"
"147.1174","4.300e1","97.0434","2.103e1","81.4572","3.000e1"
"147.8057","2.500e1","98.0257","2.390e2","81.9990","2.100e1"
"148.0653","2.600e1","98.0541","5.900e1","82.0148","2.300e1"
"154.1440","2.300e1","98.0612","2.261e1","82.0323","5.973e1"
"156.5224","2.200e1","98.0659","2.839e1","82.0458","1.336e2"
"164.1199","2.400e1","98.0738","2.400e1","82.0660","5.790e2"
"164.1456","2.400e1","99.0571","2.200e1","82.1942","3.400e1"
"165.7836","3.300e1","99.0940","6.400e1","82.9331","2.200e1"
"166.0434","2.000e1","100.0379","2.300e1","83.0304","4.500e1"
"166.0551","2.376e1","100.0623","1.978e1","83.0490","6.492e1"
"166.0696","2.098e1","100.0764","7.000e1","83.0644","1.740e2"
"166.0940","1.175e2","100.8895","2.500e1","83.1124","2.500e1"
"168.0646","8.400e1","101.0711","7.300e1","83.5790","2.500e1"
"169.0590","3.900e1","101.1113","2.000e1","84.0441","1.000e3"
"169.1353","3.290e2","102.0529","3.300e1","84.0813","4.161e3"
"170.1438","4.200e1","102.0643","3.025e1","84.4243","2.400e1"
"172.6281","2.700e1","102.8166","2.300e1","85.0204","4.200e1"
"174.0804","6.700e1","103.0426","2.300e1","85.0398","9.805e2"
"175.1044","2.000e1","104.8933","2.300e1","85.0838","5.150e2"
"177.0597","5.900e1","105.0939","2.600e1","85.1314","3.800e1"
"179.1168","3.000e1","105.3875","2.400e1","85.1679","3.200e1"
"180.0728","4.400e1","108.0479","2.700e1","85.9570","2.100e1"
"182.0087","2.200e1","108.0721","2.700e1","86.0460","2.600e1"
"182.0790","2.100e1","109.0223","4.700e1","86.0575","1.733e2"
"182.0912","5.826e1","109.0503","2.900e1","86.0659","1.659e2"
"182.1040","2.100e1","110.0257","2.400e1","86.0977","1.004e3"
"183.1176","4.400e1","110.0610","2.271e2","86.1251","2.200e1"
"183.1415","2.400e1","110.0726","1.349e2","86.1464","2.200e1"
"184.0554","3.200e1","110.1312","3.600e1","86.7675","2.700e1"
"185.0542","2.700e1","110.1784","2.400e1","87.0360","3.800e1"
"185.1761","3.100e1","111.0533","4.922e1","87.0563","8.006e2"
"187.6989","2.700e1","111.0609","2.372e1","87.1002","2.500e1"
"188.0924","2.643e1","111.3113","2.600e1","87.3572","2.400e1"
"188.1153","2.800e1","112.0317","5.799e1","88.0151","2.300e1"
"191.3281","2.100e1","112.0454","8.516e1","88.0410","3.220e2"
"193.4321","3.300e1","112.0770","6.900e1","88.0638","3.867e1"
"195.7700","2.400e1","112.0928","2.100e1","88.0688","3.734e1"
"196.1082","2.600e1","112.9634","3.100e1","88.0733","3.646e1"
"197.0399","2.400e1","113.0694","9.079e1","88.0798","2.900e1"
"197.1313","1.387e3","113.1810","2.100e1","88.3107","2.200e1"
"198.1242","2.300e1","114.0550","2.400e1","89.8956","3.200e1"
"198.1420","3.300e1","114.0949","2.500e1","90.0441","2.000e1"
"199.1018","2.600e1","114.2557","2.100e1","90.3162","2.800e1"
"201.0844","2.000e1","115.0513","1.022e3","91.0544","2.045e3"
"201.1240","1.456e2","115.0876","2.980e2","91.0976","2.100e1"
"201.9428","2.200e1","115.1130","3.200e1","92.0389","2.400e1"
"202.0792","4.150e2","115.1364","3.200e1","92.0583","3.570e2"
"203.6764","2.700e1","116.0368","2.400e1","92.2431","2.400e1"
"204.0689","2.300e1","116.0529","1.490e2","93.0382","1.021e2"
"206.0470","2.100e1","116.0751","1.710e2","93.0470","6.711e1"
"206.8003","2.200e1","117.1008","2.800e1","93.0619","4.700e1"
"207.1171","4.900e1","118.0941","4.600e1","93.0749","7.087e1"
"209.2021","2.700e1","119.0456","3.800e1","93.8027","3.600e1"
"211.0440","2.100e1","119.0820","2.700e1","94.0334","2.150e2"
"211.1013","2.200e1","119.1446","2.900e1","94.0656","4.260e2"
"211.7795","4.000e1","120.0494","2.100e1","95.0538","1.170e2"
"213.1847","2.600e1","120.0820","8.500e2","95.0906","2.200e1"
"214.4339","9.900e1","121.0201","2.200e1","96.0454","6.852e2"
"215.1112","7.500e1","121.0656","2.900e1","96.0677","5.160e1"
"215.1380","2.200e1","121.0875","1.260e2","96.0830","3.700e2"
"215.5815","2.400e1","122.0673","5.600e1","96.1513","2.100e1"
