"mz_10eV","10eV","mz_30eV","30eV","mz_50eV","50eV"
"52.6948","2.30E+1","52.7611","2.10E+1","53.0321","2.30E+1"
"55.2715","2.40E+1","70.0218","2.60E+1","56.5909","2.10E+1"
"56.5619","4.00E+1","70.0524","2.24E+1","65.7951","2.40E+1"
"70.7696","2.00E+1","70.0623","1.27E+2","67.0425","2.10E+1"
"72.165","2.60E+1","80.0021","2.60E+1","68.0491","3.20E+1"
"82.1488","2.30E+1","84.0792","1.36E+2","70.0647","1.73E+3"
"91.0275","2.10E+1","84.0921","2.69E+1","70.6219","2.00E+1"
"109.8053","2.80E+1","85.0771","2.10E+1","71.0595","5.40E+1"
"112.9925","3.50E+1","90.2902","2.10E+1","72.0469","3.90E+1"
"120.1115","2.90E+1","98.0653","1.01E+2","72.0704","3.65E+1"
"125.16","2.00E+1","102.2798","4.00E+1","72.0805","4.02E+2"
"129.7737","3.20E+1","104.0566","2.20E+1","76.0245","2.10E+1"
"140.1626","7.00E+1","105.2314","2.70E+1","82.0673","2.40E+1"
"145.0963","3.20E+1","109.0267","2.20E+1","84.0433","1.68E+2"
"149.754","2.90E+1","109.3137","3.00E+1","84.0814","2.15E+3"
"151.2339","3.20E+1","111.0907","2.70E+1","85.0858","1.51E+2"
"153.769","2.60E+1","115.086","3.00E+1","86.0845","2.98E+1"
"159.9047","2.10E+1","116.0722","5.20E+1","86.0981","3.46E+2"
"165.9959","8.70E+1","116.0907","2.10E+1","87.0534","7.00E+1"
"169.1513","2.60E+1","118.0874","2.30E+1","88.0304","2.60E+1"
"170.8381","2.30E+1","119.0867","2.80E+1","88.0415","2.40E+1"
"176.2391","2.50E+1","120.078","2.20E+1","90.7853","2.10E+1"
"183.142","8.10E+1","122.051","2.80E+1","91.1132","3.30E+1"
"203.8749","2.20E+1","122.207","2.10E+1","93.0441","5.10E+1"
"208.0431","2.60E+1","123.044","5.20E+1","94.0703","2.50E+1"
"219.1389","2.20E+1","123.0946","2.30E+1","95.027","3.60E+1"
"235.8974","2.70E+1","125.057","2.30E+1","96.0504","1.26E+2"
"236.9149","6.80E+1","126.061","2.30E+1","96.0823","3.10E+1"
"239.9234","2.60E+1","127.0868","2.30E+1","97.0754","2.80E+1"
"245.1777","8.51E+1","129.0279","3.30E+1","98.0189","2.90E+1"
"245.2002","1.82E+1","129.1037","1.30E+3","98.0455","2.10E+1"
"247.2426","2.20E+1","130.0504","1.77E+2","98.0625","2.26E+2"
"263.1184","2.40E+1","130.1118","7.30E+1","98.0898","2.10E+1"
"268.291","2.30E+1","131.0528","2.30E+1","99.0585","2.80E+1"
"269.9258","2.10E+1","132.0618","6.70E+1","99.1018","2.70E+1"
"270.786","5.10E+1","133.0535","2.40E+1","101.0772","2.20E+1"
"283.0691","3.10E+1","133.0669","2.10E+1","101.0896","2.43E+1"
"302.2176","2.20E+1","136.079","5.90E+1","101.101","8.37E+1"
"304.1809","8.00E+1","136.4823","2.40E+1","101.1121","2.30E+1"
"313.1447","2.40E+1","136.6733","2.50E+1","102.0356","3.40E+1"
"313.2098","2.40E+1","137.032","2.30E+1","102.0478","4.10E+1"
"315.9934","6.90E+1","137.8394","2.90E+1","102.0595","2.60E+1"
"318.1289","2.10E+1","139.0868","4.10E+1","102.0922","4.70E+1"
"318.1999","2.40E+1","140.1494","3.30E+1","103.0487","5.20E+1"
"324.1101","2.60E+1","141.1207","2.10E+1","105.0628","2.00E+1"
"328.2147","2.24E+2","141.1408","2.50E+1","105.0715","2.70E+1"
"328.2316","9.13E+1","143.1151","2.50E+1","106.0436","4.20E+1"
"330.4889","2.60E+1","145.0627","2.00E+1","107.0567","5.10E+1"
"335.88","2.10E+1","145.0804","2.70E+1","108.0585","2.60E+1"
"345.8896","2.00E+1","147.0791","5.79E+2","108.0711","3.60E+1"
"352.1862","2.30E+1","147.1273","4.90E+1","109.0341","8.00E+1"
"357.1009","3.60E+1","148.0675","2.00E+1","109.0878","2.50E+1"
"359.2371","2.30E+1","152.7213","2.20E+1","110.0561","6.58E+1"
"359.3755","2.70E+1","153.0988","2.00E+1","110.0661","1.19E+2"
"361.2451","2.10E+1","153.3889","2.10E+1","110.0749","2.00E+2"
"371.4819","2.30E+1","155.0863","2.50E+1","110.4383","4.00E+1"
"373.0246","2.40E+1","157.0901","1.96E+1","111.0557","3.40E+1"
"378.1341","2.40E+1","157.1051","1.51E+2","111.0971","1.65E+2"
"382.1712","2.40E+1","157.1305","6.90E+1","111.1393","2.30E+1"
"382.4175","2.30E+1","159.0812","3.20E+1","112.0411","2.30E+1"
"382.7439","3.50E+1","162.0208","2.30E+1","112.0881","7.10E+1"
"383.4165","2.10E+1","163.0368","1.03E+2","113.0652","9.15E+1"
"386.12","2.50E+1","163.0824","6.50E+1","113.0747","4.53E+1"
"387.2544","4.50E+1","164.0802","2.00E+1","114.0077","2.60E+1"
"387.5814","3.10E+1","165.0176","2.30E+1","114.0936","2.50E+1"
"388.1247","2.10E+1","165.0663","3.70E+1","114.5614","2.50E+1"
"389.8178","2.20E+1","165.1066","2.20E+1","115.0503","3.50E+1"
"391.1093","2.90E+1","166.1045","2.30E+1","115.0609","2.89E+1"
"393.2139","4.30E+1","167.0644","2.70E+1","115.0892","6.30E+1"
"395.6839","2.20E+1","167.0825","6.10E+1","115.1401","2.40E+1"
"397.1396","3.20E+1","167.098","2.30E+1","116.0512","2.40E+1"
"398.256","2.70E+1","168.081","2.30E+1","116.0718","9.40E+1"
"399.0272","2.20E+1","169.0702","2.20E+1","117.6313","2.00E+1"
"400.1288","4.80E+1","169.1364","1.64E+3","118.0911","2.20E+1"
"400.3863","4.50E+1","169.2278","2.90E+1","118.4943","2.40E+1"
"401.447","3.70E+1","170.1059","2.20E+1","119.0491","9.80E+1"
"403.3985","2.90E+1","170.1366","8.60E+1","119.082","3.10E+1"
"403.4846","4.50E+1","171.1024","6.90E+1","120.0815","4.55E+2"
"404.1761","2.30E+1","171.1114","2.98E+1","121.0541","2.30E+1"
"405.1097","2.40E+1","171.1178","4.12E+1","121.0834","1.31E+2"
"405.1653","2.57E+1","171.1493","2.20E+1","122.0531","2.20E+1"
"405.215","7.41E+2","172.0651","2.40E+1","122.0672","1.00E+2"
"405.7485","3.80E+1","173.0958","4.70E+1","122.1055","2.10E+1"
"406.1582","2.10E+1","174.7673","2.20E+1","122.9721","4.10E+1"
"406.1852","5.50E+1","174.9237","2.50E+1","123.0016","4.20E+1"
"406.2259","9.93E+1","175.1002","2.10E+1","123.0436","4.26E+2"
"407.0879","3.90E+1","175.1212","2.20E+1","123.0585","8.05E+1"
"407.2148","2.80E+1","178.0782","2.30E+1","123.0921","7.70E+1"
"408.2684","2.00E+1","179.1234","2.00E+1","123.4453","2.50E+1"
"409.235","3.40E+1","180.0988","2.20E+1","124.0458","5.10E+1"
"409.309","2.10E+1","180.1145","2.10E+1","124.1133","1.23E+2"
"409.5012","2.00E+1","180.8124","2.20E+1","125.0221","2.70E+1"
"412.269","4.60E+1","181.0289","2.40E+1","125.079","2.40E+1"
"413.4628","3.10E+1","181.052","2.30E+1","125.114","2.50E+1"
"415.8464","2.10E+1","181.0654","2.50E+1","126.054","2.32E+2"
"416.7781","2.00E+1","181.1037","7.30E+1","126.0884","4.60E+1"
"417.1863","2.10E+1","181.538","2.10E+1","126.114","6.60E+1"
"417.253","2.10E+1","182.0985","2.50E+1","126.1292","9.30E+1"
"418.2316","2.80E+1","183.1444","2.72E+2","126.1559","3.40E+1"
"419.7065","2.50E+1","184.1286","4.60E+1","126.1862","2.20E+1"
"419.7426","2.70E+1","184.1488","2.00E+1","126.341","3.40E+1"
"420.4933","2.30E+1","184.1625","2.10E+1","126.6182","2.90E+1"
"420.993","2.00E+1","185.0912","5.18E+2","126.6383","2.10E+1"
"421.1982","2.20E+1","185.1259","2.06E+2","126.6857","3.90E+1"
"422.4158","2.20E+1","185.1613","1.09E+2","127.0315","2.48E+1"
