"mz_10eV","10 ev","mz_20eV","20 ev","mz_40eV","40 ev"
"50.9854","5.900e1","52.5099","2.200e1","54.4772","2.300e1"
"52.0124","2.200e1","52.5494","2.300e1","54.9911","2.100e1"
"52.3373","2.400e1","52.8154","2.100e1","55.0162","2.700e1"
"53.0019","2.400e1","53.2788","2.200e1","55.6333","2.500e1"
"53.1481","2.200e1","53.5415","2.300e1","56.0475","1.010e2"
"53.2833","3.000e1","53.6758","2.300e1","60.0325","3.200e1"
"53.7187","2.600e1","53.7909","3.000e1","60.0453","1.280e2"
"54.4898","2.100e1","55.0314","9.900e1","65.0844","2.800e1"
"55.0336","2.600e1","55.4143","2.400e1","66.3211","3.000e1"
"55.1254","5.700e1","55.6497","2.500e1","68.0539","2.100e1"
"55.4583","5.300e1","55.7079","2.800e1","68.7970","4.400e1"
"56.0791","3.000e1","56.1228","2.900e1","69.0429","6.500e1"
"57.7392","2.800e1","57.8171","3.100e1","69.8323","2.300e1"
"58.2685","4.000e1","58.6525","2.400e1","70.0285","4.160e2"
"61.3539","2.600e1","59.5986","2.500e1","70.0659","2.995e3"
"61.4026","2.400e1","59.6653","2.800e1","70.7889","3.400e1"
"63.9826","1.200e2","60.0366","2.300e1","71.0439","2.100e1"
"66.1469","3.400e1","60.9550","3.600e1","71.0686","6.200e1"
"67.2001","2.100e1","62.4180","2.000e1","71.1184","2.100e1"
"70.9563","3.200e1","62.6288","2.800e1","72.0394","1.710e1"
"71.2397","2.000e1","63.0421","2.800e1","72.0493","7.719e1"
"75.6675","2.500e1","63.3849","2.300e1","72.0780","2.200e1"
"78.2184","2.200e1","66.1177","2.100e1","73.0438","2.700e1"
"79.7399","2.200e1","66.2495","2.100e1","74.6083","2.200e1"
"81.5242","2.100e1","67.6618","3.100e1","75.0561","1.931e2"
"82.9894","2.200e1","68.0565","2.400e1","76.0460","2.200e1"
"83.8086","2.700e1","69.0323","2.400e1","77.0405","2.800e1"
"86.0122","2.200e1","69.3991","2.400e1","78.0292","3.200e1"
"88.5998","2.500e1","69.5682","2.500e1","80.0473","2.300e1"
"90.0465","5.000e1","69.6143","2.000e1","80.5577","2.300e1"
"90.1486","3.000e1","69.7110","2.900e1","81.3064","2.100e1"
"90.2282","2.300e1","70.0256","2.000e1","82.0144","2.000e1"
"91.6214","2.100e1","70.0654","9.000e1","82.0302","4.600e1"
"93.5507","2.100e1","71.3450","9.300e1","82.0629","3.100e1"
"93.6026","2.200e1","71.5392","2.200e1","83.0610","6.489e2"
"94.7318","2.000e1","71.6623","2.600e1","83.2486","2.400e1"
"95.6512","2.000e1","71.9808","2.200e1","83.7917","2.500e1"
"99.4018","2.300e1","72.5521","4.800e1","84.0077","2.200e1"
"103.8761","2.300e1","73.0412","2.200e1","84.0217","2.732e1"
"105.8952","2.100e1","73.1293","2.300e1","84.0451","1.131e4"
"107.2106","2.600e1","73.2186","2.400e1","84.0695","2.500e1"
"107.7710","3.000e1","73.3139","2.500e1","84.0804","4.000e1"
"107.7980","3.000e1","73.5851","2.300e1","84.1122","7.800e1"
"114.1344","3.200e1","74.4956","2.300e1","84.1241","6.900e1"
"114.1706","2.100e1","75.7097","2.100e1","84.2903","4.200e1"
"118.3614","2.500e1","76.0458","2.300e1","84.5470","2.400e1"
"118.5921","2.600e1","77.4304","2.200e1","84.8779","2.200e1"
"123.6048","2.100e1","79.0426","2.000e1","85.0403","5.741e2"
"123.9735","2.100e1","79.0748","2.600e1","85.0532","1.773e2"
"124.2402","3.600e1","79.3110","2.100e1","85.0771","2.680e2"
"125.3002","2.700e1","79.8877","3.300e1","85.6967","4.200e1"
"129.2734","2.900e1","80.6127","2.100e1","85.9204","2.200e1"
"129.7403","2.700e1","82.0359","2.100e1","86.0283","2.400e1"
"132.8547","2.000e1","82.8491","4.100e1","86.0562","2.163e1"
"134.0878","2.200e1","83.0562","3.200e1","86.0656","4.200e1"
"135.7134","2.100e1","83.3184","2.600e1","87.0139","3.200e1"
"137.2674","2.700e1","83.8188","3.300e1","87.0568","1.518e3"
"137.6075","2.500e1","84.0344","3.697e1","87.0745","2.298e1"
"138.8990","2.800e1","84.0453","1.772e2","87.0872","2.200e1"
"144.3921","2.500e1","84.7194","2.000e1","87.2187","3.900e1"
"144.5190","2.000e1","85.0446","4.600e1","88.0061","2.500e1"
"145.9122","2.100e1","85.9719","2.200e1","88.0422","6.250e2"
"149.3153","2.100e1","86.5084","4.200e1","88.1014","5.800e1"
"153.4423","2.000e1","88.4972","2.100e1","89.0987","2.100e1"
"154.9311","2.000e1","90.9794","3.900e1","90.1187","1.340e2"
"155.3122","3.300e1","91.2114","2.000e1","91.0582","4.200e1"
"157.6304","3.200e1","92.1430","2.300e1","91.4134","2.100e1"
"159.0129","2.400e1","92.6074","2.700e1","92.0564","2.000e1"
"160.6488","2.300e1","93.1870","2.000e1","93.0745","1.320e2"
"163.7162","2.000e1","93.2718","5.900e1","93.2887","2.200e1"
"163.7594","4.500e1","94.5072","5.100e1","93.4308","6.300e1"
"165.7347","4.800e1","94.8994","2.700e1","94.0799","3.300e1"
"165.8812","2.100e1","95.0631","2.600e1","95.0259","2.100e1"
"166.0854","3.500e1","95.3034","2.500e1","95.0615","1.970e3"
"166.2708","2.700e1","96.0485","3.300e1","95.9468","2.500e1"
"171.2533","2.000e1","98.0239","3.400e1","96.0106","2.300e1"
"172.9173","3.300e1","100.0487","4.300e1","96.0448","2.200e1"
"180.1473","2.200e1","100.0820","6.200e1","96.0611","1.773e2"
"184.6208","3.500e1","100.0943","1.974e1","96.2844","3.100e1"
"184.8652","2.400e1","100.5682","2.000e1","97.0409","2.970e2"
"186.3159","2.100e1","101.0734","1.757e3","97.0767","3.730e2"
"205.5251","2.100e1","101.9795","2.800e1","97.2680","7.500e1"
"205.8465","2.900e1","102.0787","2.100e1","97.4065","4.500e1"
"206.2914","2.600e1","102.3304","2.100e1","97.5930","5.000e1"
"207.2701","3.100e1","103.0520","2.100e1","97.8843","4.100e1"
"208.4017","2.400e1","103.1109","2.400e1","98.0249","1.066e3"
"211.5161","2.100e1","103.4460","2.600e1","98.0613","1.643e2"
"211.6959","2.800e1","104.5569","6.000e1","98.0742","1.939e1"
"212.9731","3.100e1","105.0630","2.400e1","99.0258","5.200e1"
"214.7894","4.300e1","105.2084","2.100e1","99.0574","4.080e2"
"220.0755","2.400e1","105.7518","7.800e1","99.2062","2.100e1"
"222.2162","2.200e1","107.1581","3.000e1","99.8434","2.100e1"
"222.4886","2.600e1","110.2126","3.500e1","100.0372","4.413e1"
"222.7007","7.200e1","111.0556","4.200e1","100.0531","1.993e2"
"222.9326","3.600e1","112.0887","1.204e3","100.0806","5.331e1"
"224.3291","2.600e1","112.1482","4.700e1","100.1728","2.900e1"
"226.1404","4.300e1","112.3987","3.300e1","100.9962","3.000e1"
"227.4693","7.300e1","112.4426","2.200e1","101.0210","6.200e1"
"228.9726","2.600e1","113.0180","2.000e1","101.0328","3.258e1"
"229.4890","6.100e1","113.0738","1.190e2","101.0725","1.207e4"
"229.7887","2.300e1","113.0965","4.600e1","101.1301","2.400e1"
"233.1047","2.300e1","115.0530","2.790e2","101.7517","2.200e1"
"233.9777","2.300e1","115.0884","3.575e2","102.0310","2.200e1"
"234.9152","1.347e1","116.0863","8.300e1","102.0518","2.100e1"
"234.9315","5.553e1","116.1002","2.530e1","102.0733","6.970e2"
"241.0986","2.300e1","116.3212","2.800e1","102.3036","2.100e1"
"243.1083","2.200e1","117.9066","2.200e1","103.0561","5.373e2"
"249.8512","2.400e1","119.6380","2.300e1","103.0761","9.086e1"
"250.0776","2.400e1","120.0814","2.557e2","104.0526","2.100e1"
"250.1064","3.200e1","121.0875","2.500e1","104.5631","2.000e1"
"250.6165","2.800e1","122.0734","2.900e1","104.6967","2.600e1"
"251.2863","2.100e1","122.8559","2.700e1","104.8095","2.100e1"
"252.1682","2.600e1","124.0864","2.100e1","105.0681","3.937e2"
"252.7559","2.700e1","124.8360","2.500e1","105.1956","2.600e1"
"252.8591","2.800e1","125.0394","2.800e1","105.2294","2.100e1"
"253.7199","2.400e1","125.0748","2.700e1","105.2402","2.095e1"
"257.5355","2.000e1","125.8428","2.200e1","105.5249","3.400e1"
"263.5062","4.500e1","127.0332","3.100e1","106.7924","2.300e1"
"263.5605","2.100e1","127.0555","2.800e1","107.0441","2.000e1"
"264.0596","2.000e1","127.0931","7.800e1","107.6873","3.800e1"
"264.2597","3.600e1","128.0854","2.700e1","107.7575","2.600e1"
"264.6997","2.900e1","129.0669","2.310e2","108.0447","7.700e1"
"269.1086","2.200e1","129.1126","7.400e1","108.0605","2.500e1"
"269.6009","2.000e1","129.1395","2.100e1","108.0708","2.400e1"
"270.0030","2.400e1","129.6610","2.700e1","108.8788","2.300e1"
"270.8779","2.000e1","130.0597","4.800e1","109.0434","2.400e2"
"271.2328","2.300e1","130.2697","3.300e1","109.0773","1.310e2"
"271.8864","2.700e1","131.0777","1.060e2","109.8058","2.100e1"
"272.0750","2.200e1","131.1308","2.700e1","110.0062","2.817e1"
"273.0422","2.400e1","131.7406","3.400e1","110.0251","7.783e2"
"273.9217","2.200e1","132.0750","6.843e1","110.0685","4.014e2"
"274.1642","2.200e1","132.0875","1.657e1","110.2271","2.300e1"
"274.6910","2.200e1","133.0642","2.000e1","110.9673","2.300e1"
"275.1761","2.300e1","133.0859","2.100e1","111.0571","4.068e2"
"280.6093","2.100e1","133.1024","2.100e1","111.0714","4.545e1"
"281.1731","9.800e1","133.1256","2.600e1","111.3330","2.400e1"
"283.3048","2.600e1","134.5818","2.000e1","111.4573","2.100e1"
"285.5580","2.500e1","136.0907","1.780e2","112.0400","6.324e2"
"287.0865","2.200e1","137.0750","5.400e1","112.0888","9.974e3"
"288.0472","6.100e1","138.0560","2.000e1","112.1268","4.300e1"
"289.3606","2.000e1","139.0516","8.600e1","112.2267","2.300e1"
"290.5923","2.900e1","139.0814","2.400e1","113.0367","4.585e2"
"292.2941","2.800e1","140.0810","3.130e2","113.0732","2.964e3"
"292.4953","2.400e1","140.7426","3.800e1","113.0967","4.262e2"
"294.9818","3.300e1","141.0859","1.180e2","113.4235","2.200e1"
"295.1067","2.100e1","141.5696","8.100e1","114.0357","2.123e1"
"295.1369","5.100e1","143.0501","1.170e2","114.0570","1.407e2"
"295.6639","2.300e1","143.3718","2.400e1","114.0754","2.368e2"
"296.7077","2.100e1","144.0825","7.200e1","114.1015","3.870e2"
