mz_15eV,15eV,mz_35eV,35eV,mz_55eV,55eV
50.2512,2.00E+01,50.4055,3.20E+01,56.0495,2.30E+01
51.9832,2.20E+01,52.2911,3.00E+01,68.0673,2.80E+01
53.3143,3.20E+01,53.4447,5.10E+01,70.0137,2.10E+01
55.4877,2.00E+01,55.3026,4.70E+01,70.026,4.50E+01
56.124,2.50E+01,56.0552,3.40E+01,70.0459,1.40E+02
57.3265,3.20E+01,56.1593,3.50E+01,70.0659,5.00E+03
58.281,2.30E+01,56.2595,2.20E+01,71.0693,1.68E+02
59.4931,5.90E+01,56.4886,4.50E+01,72.0565,2.60E+01
59.606,2.80E+01,57.8789,2.30E+01,72.0792,7.38E+02
63.0313,2.10E+01,58.7696,3.40E+01,72.1318,3.20E+01
63.1103,2.00E+01,59.748,3.20E+01,78.3729,2.40E+01
63.3865,2.20E+01,60.6846,2.40E+01,79.9268,2.10E+01
64.1272,2.40E+01,61.4249,2.40E+01,80.0868,2.00E+01
64.2255,2.30E+01,63.8785,5.90E+01,82.0643,4.70E+01
66.307,2.20E+01,66.4818,2.10E+01,82.4969,2.10E+01
67.0404,3.20E+01,66.6031,4.70E+01,82.9437,6.60E+01
67.7439,4.10E+01,69.2155,3.30E+01,83.7867,2.40E+01
68.5562,2.80E+01,69.6223,2.10E+01,84.0155,2.70E+01
69.0636,2.10E+01,70.0637,6.20E+02,84.0371,5.10E+01
69.81,2.10E+01,70.4449,5.20E+01,84.0484,4.60E+01
71.3419,4.40E+01,71.3584,2.10E+01,84.0819,9.29E+03
71.587,2.30E+01,71.3867,2.30E+01,84.1064,6.40E+01
72.3074,2.20E+01,71.9126,3.40E+01,84.3849,3.40E+01
73.0703,2.30E+01,72.0835,4.40E+01,85.0825,3.36E+02
73.219,2.90E+01,72.5357,2.10E+01,85.0892,1.24E+02
77.5739,2.30E+01,73.1557,2.10E+01,85.1822,3.10E+01
79.2443,2.60E+01,75.7748,2.20E+01,86.0852,7.49E+01
79.5247,2.40E+01,78.9893,2.00E+01,86.0982,4.75E+02
80.6456,2.60E+01,81.2583,2.10E+01,87.0555,7.10E+01
83.0442,3.30E+01,83.432,4.70E+01,87.1013,9.50E+01
83.9899,2.40E+01,83.842,2.10E+01,88.0391,2.40E+01
85.4042,2.20E+01,84.0832,7.61E+02,89.0746,2.10E+01
86.7609,3.10E+01,84.1555,2.10E+01,90.0899,4.60E+01
88.2795,4.10E+01,84.2158,2.40E+01,91.5909,2.10E+01
89.0332,2.60E+01,85.087,2.90E+01,91.9174,3.30E+01
89.23,2.20E+01,85.9036,3.90E+01,93.0485,5.40E+01
90.422,2.90E+01,86.1009,2.20E+01,93.0686,4.70E+01
91.2794,3.30E+01,88.3573,2.40E+01,94.055,2.20E+01
91.85,2.60E+01,89.5613,2.10E+01,94.0646,2.58E+01
92.599,2.50E+01,90.7458,2.30E+01,95.3881,2.20E+01
93.5907,2.20E+01,91.0013,4.00E+01,96.0839,1.24E+02
97.658,2.40E+01,92.9131,4.50E+01,96.8867,2.10E+01
102.5919,2.30E+01,96.2427,2.40E+01,97.0228,2.20E+01
103.5158,2.60E+01,96.7125,2.50E+01,98.0421,2.10E+01
103.6375,2.10E+01,98.063,9.90E+01,98.0616,8.25E+02
108.9212,3.00E+01,98.9875,2.20E+01,98.0879,2.20E+01
109.8931,8.20E+01,99.1239,2.30E+01,98.0999,2.80E+01
112.5494,3.20E+01,101.1058,5.80E+01,98.4678,4.40E+01
121.2005,2.50E+01,101.5694,2.50E+01,98.9987,4.80E+01
121.5908,2.50E+01,101.6881,2.20E+01,99.0538,2.40E+01
123.8078,2.10E+01,103.0796,6.10E+01,99.07,2.10E+01
129.8601,2.30E+01,105.7708,2.40E+01,99.0928,2.20E+01
130.0955,9.30E+01,106.9423,2.30E+01,100.0097,2.30E+01
137.6597,2.70E+01,110.3897,2.50E+01,100.1206,2.10E+01
137.9281,8.50E+01,110.4773,2.60E+01,100.3782,2.60E+01
140.7418,2.00E+01,111.087,2.10E+01,101.082,3.50E+01
141.1402,2.20E+01,113.0384,2.00E+01,101.0983,1.10E+02
145.7385,2.80E+01,113.1075,2.10E+01,101.1082,4.36E+02
149.3337,2.50E+01,115.091,4.80E+01,103.0481,2.50E+01
150.6851,2.40E+01,116.073,9.40E+01,103.8384,2.30E+01
152.0357,2.40E+01,116.083,5.33E+01,103.8601,2.00E+01
158.5539,2.00E+01,116.0915,2.80E+01,104.0554,2.10E+01
159.6799,2.00E+01,117.7301,2.30E+01,104.8303,2.10E+01
160.4825,4.00E+01,118.3365,2.20E+01,105.0611,7.50E+01
172.8183,3.70E+01,120.2584,2.40E+01,105.7219,2.20E+01
174.4342,2.20E+01,120.7798,7.70E+01,107.7831,2.10E+01
180.0287,2.10E+01,121.6701,2.50E+01,109.0831,2.60E+01
186.3407,2.20E+01,124.5199,2.40E+01,109.3911,2.80E+01
189.3707,2.10E+01,125.5853,2.10E+01,109.5205,6.10E+01
194.4204,2.60E+01,126.0447,9.48E+00,110.0545,2.40E+01
195.4279,3.20E+01,126.0567,1.02E+02,110.0699,5.50E+01
197.1273,2.30E+01,126.1339,2.70E+01,110.0974,1.47E+02
199.1118,2.90E+01,127.0463,4.40E+01,111.0912,3.46E+02
205.1197,2.40E+01,127.0631,1.96E+01,112.0765,1.02E+02
211.2993,2.20E+01,127.0941,2.70E+01,112.1088,4.60E+01
213.2424,2.20E+01,128.7513,2.50E+01,113.0668,2.00E+01
213.4162,2.10E+01,128.9896,3.00E+01,113.0906,3.20E+01
215.1054,3.50E+01,129.0575,2.10E+01,113.1115,7.00E+01
216.3025,2.40E+01,129.105,4.59E+03,115.0492,5.20E+01
217.1968,2.00E+01,130.0775,2.60E+01,115.0583,3.20E+01
223.3949,2.30E+01,130.0983,1.04E+02,115.0868,2.16E+02
226.6466,2.10E+01,130.111,1.65E+02,115.9751,3.00E+01
237.4625,2.50E+01,131.1081,5.70E+01,116.0201,2.40E+01
246.1571,2.40E+01,132.1071,5.30E+01,116.0431,9.00E+01
248.0735,2.10E+01,133.0627,4.41E+02,116.0732,2.71E+02
248.3212,2.10E+01,134.5088,2.10E+01,116.1323,2.10E+01
253.9696,2.00E+01,135.7529,2.90E+01,117.0809,5.00E+01
259.3651,2.60E+01,136.0878,2.00E+01,118.0856,2.30E+01
259.6472,2.10E+01,137.0638,2.30E+01,119.4386,9.80E+01
262.1507,3.90E+01,137.7649,3.60E+01,119.852,2.30E+01
267.8619,2.30E+01,138.1246,3.60E+01,120.0802,1.19E+02
268.475,2.30E+01,139.086,1.91E+02,121.073,2.30E+01
268.537,2.00E+01,139.1241,2.40E+01,122.2612,2.10E+01
269.155,2.00E+01,139.5499,2.20E+01,122.3018,2.80E+01
269.173,2.70E+01,140.0444,2.30E+01,123.0463,2.10E+01
270.8141,2.40E+01,140.1003,2.30E+01,123.0605,2.20E+01
278.1076,2.10E+01,140.1384,2.40E+01,123.0841,4.20E+01
278.6563,2.10E+01,141.0651,4.10E+01,123.1024,6.80E+01
283.4297,2.40E+01,141.1355,1.33E+02,123.1239,2.60E+01
283.8932,3.20E+01,141.2075,2.70E+01,123.3315,4.80E+01
284.1508,2.20E+01,142.0799,2.30E+01,123.5146,2.50E+01
289.364,6.40E+01,142.1379,7.20E+01,123.867,2.20E+01
295.1658,2.40E+01,143.1272,2.00E+01,124.0436,3.00E+01
295.8788,2.30E+01,144.1128,2.10E+01,124.0823,5.20E+01
301.1846,2.10E+01,144.3544,4.80E+01,124.1149,1.82E+02
302.1971,7.80E+01,146.1001,1.15E+02,125.0784,2.70E+01
307.3022,2.10E+01,146.3204,2.30E+01,125.1131,7.60E+01
310.5007,2.10E+01,148.0692,3.40E+01,126.0107,3.20E+01
313.1787,8.20E+01,149.0683,2.50E+01,126.0571,9.16E+02
313.524,2.90E+01,150.1024,3.30E+01,126.091,1.07E+02
315.4109,2.10E+01,150.1166,3.80E+01,126.1287,7.47E+02
317.0855,3.20E+01,150.6554,2.20E+01,126.5275,3.40E+01
318.2002,2.10E+01,151.0369,2.30E+01,126.5479,2.20E+01
322.1396,2.00E+01,151.0899,9.80E+01,126.9673,2.50E+01
322.6367,2.70E+01,152.1388,3.30E+01,127.0175,3.40E+01
324.2312,2.30E+01,153.1178,3.20E+01,127.0612,4.40E+01
327.6706,3.50E+01,153.1363,2.20E+01,127.0864,1.81E+02
333.0962,3.80E+01,153.2387,2.30E+01,127.1273,1.63E+02
339.195,2.10E+01,154.8914,2.50E+01,127.1513,2.00E+01
340.3245,6.60E+01,156.1053,4.70E+01,128.0161,3.10E+01
352.8403,3.80E+01,157.0962,2.92E+02,128.0722,1.80E+02
353.7309,2.60E+01,157.209,3.70E+01,128.0934,3.50E+01
358.2012,2.40E+01,157.8282,2.10E+01,128.1097,4.87E+01
361.0813,2.00E+01,158.0999,9.50E+01,128.4365,2.20E+01
361.7938,2.70E+01,158.1273,3.10E+01,129.0164,2.30E+01
365.9972,2.50E+01,158.2973,3.10E+01,129.0552,2.97E+02
366.9175,2.20E+01,160.2734,3.30E+01,129.0733,1.84E+02
369.1968,2.10E+01,162.8181,2.40E+01,129.1041,9.87E+04
372.866,2.50E+01,163.042,2.20E+01,129.1369,7.63E+01
373.2444,2.00E+01,164.8186,2.20E+01,129.1502,7.22E+01
376.1085,2.80E+01,166.0838,2.10E+01,129.1648,5.40E+01
377.1736,2.40E+01,166.6756,2.10E+01,129.203,6.30E+01
378.1612,2.50E+01,166.8486,2.90E+01,129.2194,2.80E+01
378.2033,5.10E+01,167.0053,4.20E+01,129.2385,5.70E+01
379.1105,2.10E+01,167.052,1.31E+02,129.3766,2.80E+01
379.2127,3.20E+01,167.0683,5.81E+01,129.7325,2.50E+01
379.7739,2.10E+01,167.0794,4.26E+01,129.8348,5.70E+01
380.9624,2.80E+01,167.0888,2.54E+01,130.0613,2.10E+01
382.2008,4.80E+01,167.1248,2.40E+01,130.082,6.34E+01
383.1536,3.20E+01,167.1588,2.10E+01,130.1059,4.13E+03
385.2343,2.20E+01,168.0355,2.20E+01,130.136,2.10E+01
385.2678,3.70E+01,168.0774,1.08E+02,130.1708,2.20E+01
387.0756,3.00E+01,168.7495,3.40E+01,130.5858,2.30E+01
387.6838,2.70E+01,168.8154,2.30E+01,130.8449,2.40E+01
387.9417,2.60E+01,169.0878,9.64E+01,130.8783,6.20E+01
388.2359,2.00E+01,169.1358,5.65E+03,130.9585,1.80E+01
391.1562,3.20E+01,169.3426,3.00E+01,130.9715,1.13E+02
391.2023,2.20E+01,170.1322,7.90E+02,131.0935,1.82E+01
391.4669,2.30E+01,170.4028,2.00E+01,131.1113,2.39E+02
392.1922,2.00E+01,170.5017,2.20E+01,131.1227,4.66E+01
394.0946,2.60E+01,171.0896,1.77E+01,132.0829,2.20E+01
395.3065,2.40E+01,171.1099,2.97E+02,132.11,2.20E+01
396.1537,2.90E+01,171.138,7.83E+01,132.565,2.60E+01
400.4913,2.60E+01,172.104,1.24E+02,133.0627,1.84E+03
400.6929,3.70E+01,173.2187,2.00E+01,133.0936,5.20E+01
401.4962,2.50E+01,175.283,2.20E+01,133.5524,3.00E+01
402.884,2.50E+01,176.0457,2.20E+01,133.6792,2.60E+01
407.2401,2.50E+01,178.3784,2.10E+01,134.0664,5.00E+01
407.2914,2.20E+01,178.4042,2.50E+01,134.0748,2.00E+01
